request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_40,355.73,not_affordable,not_recommended,none,,none,"Only EUR 355.73 is safe today; no eligible plan can finish EUR 1290.3 by 2024-08-15 while preserving the minimum balance of EUR 1500. Baseline 90-day low: EUR 1855.73 on 2024-06-12. A material obligation is Shared housing rent: EUR 581.9 on 2024-07-01. This is a forecast, not a guarantee of future cash flow."
request_41,7644359.42,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"IDR 7644359.42 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above IDR 25366600 (projected low IDR 33010959.43). A material obligation is Residential rent payment: IDR 9481000 on 2025-12-02. Confirmed forecast income includes IDR 42559991.04 on 2025-11-15; pending credits are excluded. Waiting uses the confirmed IDR 40776784.43 inflow on 2026-01-15 before the full payment. A single full payment first becomes safe on 2026-01-15. This preserves the user's stated priorities: emergency savings, travel. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"INR 52100 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 113100 (projected low INR 156722.24). A material obligation is Apartment rent transfer: INR 40200 on 2026-02-03. Confirmed forecast income includes INR 139247.49 on 2026-01-15; pending credits are excluded. This preserves the user's stated priorities: emergency savings, travel. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_43,8273626.87,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"IDR 8273626.87 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above IDR 21398000 (projected low IDR 29671626.88). A material obligation is Monthly rent: IDR 8911000 on 2024-10-04. Confirmed forecast income includes IDR 32870000 on 2024-09-15; pending credits are excluded. Waiting uses the confirmed IDR 32870000 inflow on 2024-11-15 before the full payment. A single full payment first becomes safe on 2024-11-15. This preserves the user's stated priorities: debt repayment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_44,30429.03,not_affordable,not_recommended,none,,none,"Only INR 30429.03 is safe today; no eligible plan can finish INR 95800 by 2025-04-15 while preserving the minimum balance of INR 82900. Baseline 90-day low: INR 113329.03 on 2025-02-12. A material obligation is Apartment rent transfer: INR 30200 on 2025-03-01. This is a forecast, not a guarantee of future cash flow."
request_45,3361778.45,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"IDR 3361778.45 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above IDR 11149800 (projected low IDR 14511578.45). A material obligation is Building maintenance payment: IDR 1805000 on 2026-08-03. Confirmed forecast income includes IDR 17290000 on 2026-07-15; pending credits are excluded. Waiting uses the confirmed IDR 17290000 inflow on 2026-09-15 before the full payment. A single full payment first becomes safe on 2026-09-15. This preserves the user's stated priorities: healthcare, retirement investment. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_46,35318.22,affordable_with_plan,partial_payment,2024-12-03:35318.22|2024-12-15:14131.78,2024-12-15,none,"INR 35318.22 is safe to pay today before optional cuts. The recommended partial payment keeps the 90-day balance at or above INR 84000 (projected low INR 84000). A material obligation is Shared housing rent: INR 33800 on 2024-12-03. Confirmed forecast income includes INR 145000 on 2024-12-15; pending credits are excluded. A single full payment first becomes safe on 2024-12-15. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_47,32404186.34,affordable_with_plan,full_payment,2025-05-05:38114000,,stop:event_4339|reduce_to:event_4406:770450,"IDR 32404186.34 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above IDR 30049000 (projected low IDR 31013625.97). A material obligation is Shared housing rent: IDR 12065000 on 2025-06-04. Confirmed forecast income includes IDR 7987928.85 on 2025-05-12; pending credits are excluded. The 2 authorized flexible-spending adjustment(s) save about IDR 1237948.52 per recurrence (stop Music service subscription; reduce to IDR 770450 Family dinner) and are minimal for this plan. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"INR 45700 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 71300 (projected low INR 76883.19). A material obligation is Apartment rent transfer: INR 25200 on 2026-08-01. Confirmed forecast income includes INR 81996.72 on 2026-08-15; pending credits are excluded. This preserves the user's stated priorities: emergency savings, travel. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_49,12655596.65,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"IDR 12655596.65 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above IDR 20275700 (projected low IDR 25320949.85). A material obligation is Shared housing rent: IDR 9747000 on 2024-04-02. Confirmed forecast income includes IDR 31464000 on 2024-03-15; pending credits are excluded. This exact provider offer has 3 payments, total cost IDR 35706320.01, and fee IDR 1373320.01; it is the highest-ranked safe eligible offer. A single full payment first becomes safe on 2024-04-15. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"INR 43900 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 99700 (projected low INR 154783.08). A material obligation is Monthly rent: INR 38800 on 2025-09-03. Confirmed forecast income includes INR 126000 on 2025-08-15; pending credits are excluded. This preserves the user's stated priorities: healthcare, family support. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"IDR 2191000 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above IDR 7811000 (projected low IDR 29545641.77). A material obligation is Residential rent payment: IDR 2945000 on 2026-01-04. Confirmed forecast income includes IDR 2845342.76 on 2026-01-05; pending credits are excluded. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_52,19241.76,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"INR 19241.76 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above INR 41500 (projected low INR 54946.69). A material obligation is Monthly rent: INR 21100 on 2024-07-01. Confirmed forecast income includes INR 69000 on 2024-06-15; pending credits are excluded. Waiting uses the confirmed INR 69000 inflow on 2024-06-15 before the full payment. A single full payment first becomes safe on 2024-06-15. This preserves the user's stated priorities: debt repayment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_53,464.03,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,stop:event_4925,"USD 464.03 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above USD 2100 (projected low USD 2218.92). A material obligation is Residential rent payment: USD 774 on 2025-12-02. Confirmed forecast income includes USD 2880 on 2025-11-15; pending credits are excluded. This exact provider offer has 3 payments, total cost USD 1767.18, and fee USD 67.98; it is the highest-ranked safe eligible offer. The 1 authorized flexible-spending adjustment(s) save about USD 41 per recurrence (stop Delivery service plan) and are minimal for this plan. A single full payment first becomes safe on 2026-01-15. This preserves the user's stated priorities: education, debt repayment. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_54,2083.51,not_affordable,not_recommended,none,,none,"Only ZAR 2083.51 is safe today; no eligible plan can finish ZAR 121528 by 2026-08-21 while preserving the minimum balance of ZAR 37000. Baseline 90-day low: ZAR 39083.52 on 2026-07-12. A material obligation is Home association fee: ZAR 3630 on 2026-07-04. This is a forecast, not a guarantee of future cash flow."
request_55,114854.81,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,stop:event_5101|reduce_to:event_5103:2536,"INR 114854.81 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above INR 124300 (projected low INR 129932.52). A material obligation is Apartment rent transfer: INR 54400 on 2026-07-04. Confirmed forecast income includes INR 206712.55 on 2026-06-15; pending credits are excluded. This exact provider offer has 3 payments, total cost INR 227343.99, and fee INR 8743.99; it is the highest-ranked safe eligible offer. The 2 authorized flexible-spending adjustment(s) save about INR 9018.51 per recurrence (stop Family streaming plan; reduce to INR 2536 Online retail purchases) and are minimal for this plan. A single full payment first becomes safe on 2026-08-15. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_56,632.95,affordable_with_plan,partial_payment,2025-02-03:632.95|2025-02-15:248.61,2025-02-15,none,"USD 632.95 is safe to pay today before optional cuts. The recommended partial payment keeps the 90-day balance at or above USD 2100 (projected low USD 2100). A material obligation is Home association fee: USD 212 on 2025-03-02. Confirmed forecast income includes USD 2293.72 on 2025-02-15; pending credits are excluded. A single full payment first becomes safe on 2025-02-15. This preserves the user's stated priorities: education, family support. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_57,12819.59,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"ZAR 12819.59 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above ZAR 42700 (projected low ZAR 55519.59). A material obligation is Monthly rent: ZAR 15004 on 2026-05-02. Confirmed forecast income includes ZAR 50160 on 2026-04-15; pending credits are excluded. Waiting uses the confirmed ZAR 50160 inflow on 2026-06-15 before the full payment. A single full payment first becomes safe on 2026-06-15. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"IDR 16226000 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above IDR 14433900 (projected low IDR 21004178.25). A material obligation is Landlord standing order: IDR 7676000 on 2025-01-03. Confirmed forecast income includes IDR 24190461.28 on 2024-12-15; pending credits are excluded. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"INR 140600 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above INR 132600 (projected low INR 405649.49). A material obligation is Monthly rent: INR 53800 on 2025-05-04. Confirmed forecast income includes INR 43799.94 on 2025-05-12; pending credits are excluded. This exact provider offer has 3 payments, total cost INR 146223.99, and fee INR 5623.99; it is the highest-ranked safe eligible offer. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_60,117.61,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"USD 117.61 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above USD 400 (projected low USD 404.6). A material obligation is Apartment rent transfer: USD 122.4 on 2026-02-01. Confirmed forecast income includes USD 530.4 on 2026-01-15; pending credits are excluded. Waiting uses the confirmed USD 530.4 inflow on 2026-01-15 before the full payment. A single full payment first becomes safe on 2026-01-15. This preserves the user's stated priorities: emergency savings, travel. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"ZAR 29062 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above ZAR 36700 (projected low ZAR 37549.14). A material obligation is Landlord standing order: ZAR 11792 on 2024-04-02. This exact provider offer has 3 payments, total cost ZAR 30224.49, and fee ZAR 1162.49; it is the highest-ranked safe eligible offer. This preserves the user's stated priorities: debt repayment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"USD 404.23 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above USD 1300 (projected low USD 4628.68). A material obligation is Monthly rent: USD 530.4 on 2025-09-03. Confirmed forecast income includes USD 801.48 on 2025-08-08; pending credits are excluded. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_63,37534.99,not_affordable,not_recommended,none,,none,"Only INR 37534.99 is safe today; no eligible plan can finish INR 343900 by 2026-09-17 while preserving the minimum balance of INR 153500. Baseline 90-day low: INR 191034.99 on 2026-07-14. A material obligation is Monthly rent: INR 50000 on 2026-08-04. This is a forecast, not a guarantee of future cash flow."
request_64,0,not_affordable,not_recommended,none,,none,"Only INR 0 is safe today; no eligible plan can finish INR 63700 by 2024-08-16 while preserving the minimum balance of INR 36100. Baseline 90-day low: INR -200930.9 on 2024-06-13. A material obligation is Large grocery tax invoice: INR 279679.26 on 2024-06-10. This is a forecast, not a guarantee of future cash flow."
request_65,5886.72,not_affordable,not_recommended,none,,none,"Only ZAR 5886.72 is safe today; no eligible plan can finish ZAR 54340 by 2025-11-25 while preserving the minimum balance of ZAR 15500. Baseline 90-day low: ZAR 21386.72 on 2025-11-14. A material obligation is Home association fee: ZAR 2519 on 2025-12-03. This is a forecast, not a guarantee of future cash flow."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"INR 22200 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 80700 (projected low INR 243105.89). A material obligation is Apartment rent transfer: INR 26300 on 2026-04-03. Confirmed forecast income includes INR 45517.03 on 2026-04-08; pending credits are excluded. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_67,300.77,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"USD 300.77 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above USD 1200 (projected low USD 1500.77). A material obligation is Monthly rent: USD 514.8 on 2024-10-04. Confirmed forecast income includes USD 2029.68 on 2024-09-15; pending credits are excluded. Waiting uses the confirmed USD 1988.15 inflow on 2024-11-15 before the full payment. A single full payment first becomes safe on 2024-11-15. This preserves the user's stated priorities: education, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_68,1333.61,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,stop:event_6330,"USD 1333.61 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above USD 1500 (projected low USD 1508.72). A material obligation is Apartment rent transfer: USD 750 on 2025-03-01. Confirmed forecast income includes USD 2496 on 2025-02-23; pending credits are excluded. This exact provider offer has 3 payments, total cost USD 2175.27, and fee USD 83.67; it is the highest-ranked safe eligible offer. The 1 authorized flexible-spending adjustment(s) save about USD 10 per recurrence (stop Online backup subscription) and are minimal for this plan. A single full payment first becomes safe on 2025-03-23. This preserves the user's stated priorities: healthcare, family support. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"EUR 529.1 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above EUR 700 (projected low EUR 723.72). A material obligation is Monthly rent: EUR 434.9 on 2026-02-02. Confirmed forecast income includes EUR 1177 on 2026-01-15; pending credits are excluded. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_70,50476.8,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"INR 50476.8 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above INR 115000 (projected low INR 162417.33). A material obligation is Landlord standing order: INR 66100 on 2025-01-03. Confirmed forecast income includes INR 203000 on 2024-12-15; pending credits are excluded. Waiting uses the confirmed INR 203000 inflow on 2025-02-15 before the full payment. A single full payment first becomes safe on 2025-02-15. This preserves the user's stated priorities: debt repayment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_71,244128.26,not_affordable,not_recommended,none,,none,"Only IDR 244128.26 is safe today; no eligible plan can finish IDR 21451000 by 2025-05-28 while preserving the minimum balance of IDR 8884800. Baseline 90-day low: IDR 9128928.26 on 2025-05-14. A material obligation is Apartment rent transfer: IDR 3648000 on 2025-05-04. This is a forecast, not a guarantee of future cash flow."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"ZAR 11330 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above ZAR 12200 (projected low ZAR 12429.28). A material obligation is Apartment rent transfer: ZAR 4312 on 2026-08-01. Confirmed forecast income includes ZAR 18700 on 2026-07-15; pending credits are excluded. This preserves the user's stated priorities: education, debt repayment. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"INR 71400 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 103200 (projected low INR 105027.4). A material obligation is Residential rent payment: INR 41776 on 2023-02-02. Confirmed forecast income includes INR 126925.35 on 2023-02-15; pending credits are excluded. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"ZAR 5010 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above ZAR 21900 (projected low ZAR 63664.08). A material obligation is Shared housing rent: ZAR 7590 on 2025-09-03. Confirmed forecast income includes ZAR 11625.33 on 2025-08-08; pending credits are excluded. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"ZAR 28270 is safe to pay today before optional cuts. The recommended installments keeps the 90-day balance at or above ZAR 39000 (projected low ZAR 129216.82). A material obligation is Shared housing rent: ZAR 15642 on 2026-05-04. Confirmed forecast income includes ZAR 50820 on 2026-04-15; pending credits are excluded. This exact provider offer has 3 payments, total cost ZAR 29400.81, and fee ZAR 1130.81; it is the highest-ranked safe eligible offer. This preserves the user's stated priorities: retirement investment, emergency savings. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_76,717.14,not_affordable,not_recommended,none,,none,"Only USD 717.14 is safe today; no eligible plan can finish USD 4455.6 by 2024-07-30 while preserving the minimum balance of USD 1800. Baseline 90-day low: USD 2517.14 on 2024-06-14. A material obligation is Shared housing rent: USD 694.8 on 2024-07-01. This is a forecast, not a guarantee of future cash flow."
request_77,60102.73,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"INR 60102.73 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above INR 82200 (projected low INR 82307.73). A material obligation is Apartment rent transfer: INR 25200 on 2025-12-02. Confirmed forecast income includes INR 111000 on 2025-11-15; pending credits are excluded. The 1 authorized flexible-spending adjustment(s) save about INR 705 per recurrence (stop Online backup subscription) and are minimal for this plan. A single full payment first becomes safe on 2025-11-15. This preserves the user's stated priorities: healthcare, family support. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_78,45918.87,not_affordable,not_recommended,none,2025-10-15,none,"Only INR 45918.87 is safe today; no eligible plan can finish INR 50200 by 2025-10-14 while preserving the minimum balance of INR 55200. Baseline 90-day low: INR 101118.87 on 2025-10-13. A material obligation is Shared housing rent: INR 28200 on 2025-10-03. This is a forecast, not a guarantee of future cash flow."
request_79,313.14,not_affordable,not_recommended,none,,none,"Only EUR 313.14 is safe today; no eligible plan can finish EUR 2151.6 by 2024-11-01 while preserving the minimum balance of EUR 1000. Baseline 90-day low: EUR 1313.14 on 2024-09-14. A material obligation is Monthly rent: EUR 386.1 on 2024-09-04. This is a forecast, not a guarantee of future cash flow."
request_80,110008.68,not_affordable,not_recommended,none,,none,"Only INR 110008.68 is safe today; no eligible plan can finish INR 217500 by 2025-02-21 while preserving the minimum balance of INR 121300. Baseline 90-day low: INR 231308.68 on 2025-02-12. A material obligation is Residential rent payment: INR 52000 on 2025-03-01. This is a forecast, not a guarantee of future cash flow."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"USD 2076 is safe to pay today before optional cuts. The recommended full payment keeps the 90-day balance at or above USD 1600 (projected low USD 1661.55). A material obligation is Apartment rent transfer: USD 1037.57 on 2026-08-02. Confirmed forecast income includes USD 2701.92 on 2026-07-15; pending credits are excluded. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_82,313.89,affordable_later,wait,2025-01-15:1405.20,2025-01-15,none,"USD 313.89 is safe to pay today before optional cuts. The recommended wait keeps the 90-day balance at or above USD 1100 (projected low USD 1208.31). A material obligation is Shared housing rent: USD 405.6 on 2025-01-03. Confirmed forecast income includes USD 2540.4 on 2024-12-15; pending credits are excluded. Waiting uses the confirmed USD 1674.91 inflow on 2025-01-15 before the full payment. A single full payment first becomes safe on 2025-01-15. This preserves the user's stated priorities: emergency savings, housing. The recommendation is safe under the stated 90-day forecast, not guaranteed."
request_83,7244.94,not_affordable,not_recommended,none,,none,"Only INR 7244.94 is safe today; no eligible plan can finish INR 156200 by 2025-06-17 while preserving the minimum balance of INR 37800. Baseline 90-day low: INR 45044.95 on 2025-05-14. A material obligation is Home repair reserve: INR 6700 on 2025-06-05. This is a forecast, not a guarantee of future cash flow."
